Rrs[¦È_0,0,0](555)  Rrs[¦È_0,0,0](659)  Rrs[¦È_0,0,0](865)  Rrs[¦È_0,0,0](1375)  Rrs[¦È_0,0,0](1610)  Rrs[¦È_0,0,0](2250)  Rrs[¦È_0,¦È,¦¤¦Õ](555)  Rrs[¦È_0,¦È,¦¤¦Õ](659)  Rrs[¦È_0,¦È,¦¤¦Õ](865)  Rrs[¦È_0,¦È,¦¤¦Õ](1375)  Rrs[¦È_0,¦È,¦¤¦Õ](1610)  Rrs[¦È_0,¦È,¦¤¦Õ](2250)  
  1.16985698E-02   2.35569537E-03   1.84720739E-04   1.46995372E-06   9.87423007E-07   3.07836567E-07   1.26275939E-02   2.43938201E-03   1.79182588E-04   1.43300618E-06   9.65677193E-07   3.02305576E-07 
  1.36348977E-02   2.90821157E-03   2.13195669E-04   1.71650072E-06   1.15328621E-06   3.59350893E-07   1.52185904E-02   3.35549932E-03   2.51841989E-04   1.97174663E-06   1.32326713E-06   4.11345863E-07 
  1.24913435E-02   2.00224692E-03   1.44002685E-04   1.11407615E-06   7.39695830E-07   2.24708565E-07   1.25466141E-02   2.04510893E-03   1.52362354E-04   1.19261687E-06   7.92207944E-07   2.40765167E-07 
  4.16359065E-02   2.85219192E-02   2.37071090E-03   1.63848161E-05   1.08348950E-05   3.25666536E-06   4.25828494E-02   2.92883632E-02   2.54894097E-03   1.90738901E-05   1.26219660E-05   3.79717810E-06 
  3.23094256E-02   2.25977628E-02   2.11712234E-03   1.48775615E-05   9.91545088E-06   3.03081562E-06   3.58231541E-02   2.53523218E-02   2.51123103E-03   1.76204237E-05   1.17357160E-05   3.58287570E-06 
  1.28897158E-02   2.50561161E-03   2.00041149E-04   1.63173748E-06   1.09634347E-06   3.41807524E-07   1.29417343E-02   2.54493015E-03   2.06391926E-04   1.68889787E-06   1.13420711E-06   3.53241943E-07 
  1.17230993E-02   2.69520846E-03   2.25267242E-04   1.83829326E-06   1.23886585E-06   3.88766927E-07   1.17091227E-02   2.64264521E-03   2.13929309E-04   1.73899822E-06   1.17247138E-06   3.68335665E-07 
  2.11726255E-03   1.22420761E-03   1.08317495E-04   9.37641567E-07   6.48068347E-07   2.14413796E-07   2.14385323E-03   1.24594253E-03   1.13671246E-04   9.98237029E-07   6.90328034E-07   2.28657607E-07 
  3.45236424E-02   1.47014729E-02   1.00614288E-03   7.09624733E-06   4.71222333E-06   1.42986745E-06   3.53171662E-02   1.51820744E-02   1.06645910E-03   7.87446811E-06   5.23583373E-06   1.59098510E-06 
  6.48526960E-03   1.31288363E-03   1.08308442E-04   9.01838045E-07   6.12419313E-07   1.95534134E-07   6.62306457E-03   1.29440655E-03   1.03703494E-04   8.63170176E-07   5.86705975E-07   1.87740157E-07 
  3.97903919E-03   8.03600248E-04   6.20061756E-05   5.23476573E-07   3.60694416E-07   1.18929278E-07   4.41268043E-03   8.94948095E-04   7.01047717E-05   5.95860940E-07   4.10606488E-07   1.35327681E-07 
  1.65718721E-02   7.32997032E-03   6.91315278E-04   5.88077243E-06   3.98771655E-06   1.26579048E-06   1.84845696E-02   8.24732708E-03   6.97893494E-04   5.37999749E-06   3.64059409E-06   1.15949164E-06 
