rho_a(555)  rho_a(659)  rho_a(865)  rho_a(1375)  rho_a(1610)  rho_a(2250)  
  7.52858720E-04   6.13476354E-04   4.76779654E-04   3.06628602E-04   2.57513632E-04   1.89518455E-04 
  3.38166807E-04   2.76679306E-04   2.04467283E-04   1.45694851E-04   1.31810983E-04   1.15591386E-04 
  3.05447545E-02   2.46043718E-02   1.47485640E-02   3.73977298E-03   1.88972868E-03   3.67027772E-04 
  1.13260781E-03   8.56736336E-04   5.11240601E-04   1.58025038E-04   9.01114645E-05   2.34871224E-05 
  1.53375558E-03   1.21090459E-03   7.20037305E-04   2.30336407E-04   1.49072358E-04   7.08916165E-05 
  1.35918558E-03   1.07827398E-03   7.15533053E-04   2.66088467E-04   1.65591976E-04   5.22121541E-05 
  5.82150000E-03   4.55899593E-03   2.80299248E-03   8.59461210E-04   5.01770061E-04   1.48228727E-04 
  2.96954118E-03   3.25050411E-03   3.51996619E-03   4.18421939E-03   4.30102124E-03   4.11218487E-03 
  1.60131650E-04   1.20743474E-04   8.95117739E-05   4.77354511E-05   3.76378630E-05   2.33208567E-05 
  4.61882153E-02   4.21440255E-02   3.08872486E-02   1.36191459E-02   9.59370857E-03   4.72637073E-03 
  1.85005644E-04   1.47416227E-04   9.60264834E-05   3.92661589E-05   2.76298033E-05   1.45066019E-05 
  7.20993417E-03   5.98526485E-03   4.23817833E-03   2.00096850E-03   1.40813545E-03   5.69333460E-04 
  9.42137360E-04   7.90902634E-04   5.62765410E-04   2.82109327E-04   2.29096149E-04   1.28225519E-04 
  2.62940214E-03   2.10110004E-03   1.37501916E-03   5.53765902E-04   3.80981106E-04   1.84344274E-04 
  2.03616162E-02   1.78777146E-02   1.21184751E-02   4.72388094E-03   3.27541040E-03   1.67080761E-03 
  3.78943177E-04   3.14982466E-04   1.97064475E-04   6.09873385E-05   3.66246347E-05   1.20923152E-05 
  4.01898713E-03   3.31967355E-03   2.36891160E-03   1.16501900E-03   8.75323027E-04   5.32782793E-04 
  3.12119188E-04   2.59788381E-04   1.68690344E-04   6.02431431E-05   3.88442068E-05   1.44855947E-05 
  2.93257198E-03   3.03758527E-03   2.94092434E-03   2.74521292E-03   2.66394909E-03   2.41124425E-03 
  1.90489820E-03   1.48279254E-03   9.44317101E-04   3.70305932E-04   2.57974382E-04   1.22994235E-04 
  4.58499938E-03   4.43390908E-03   4.47519758E-03   4.82089643E-03   4.91876655E-03   4.68756911E-03 
  5.06117199E-04   3.83576353E-04   2.26504458E-04   6.45773351E-05   3.41786917E-05   7.33633375E-06 
  2.83029189E-03   2.55261450E-03   2.00583327E-03   1.38384146E-03   1.19788371E-03   9.58909654E-04 
  2.26896497E-02   1.98487009E-02   1.47315141E-02   9.91181345E-03   9.09408561E-03   7.68881372E-03 
  9.66049202E-04   7.62054757E-04   5.11825078E-04   2.12253988E-04   1.41723349E-04   5.23572365E-05 
  2.52576832E-03   2.22937453E-03   1.80294840E-03   1.46563317E-03   1.31547949E-03   1.13217105E-03 
  5.33920698E-04   4.23174094E-04   2.73140261E-04   1.00243361E-04   6.20006516E-05   1.84588338E-05 
  2.06323187E-02   1.74247604E-02   1.25889900E-02   7.22052388E-03   6.26171461E-03   4.71465475E-03 
  1.05153447E-02   1.18738978E-02   1.19960102E-02   1.26152773E-02   1.23921138E-02   1.04213381E-02 
  3.10353454E-02   2.58952152E-02   1.81711167E-02   8.30257948E-03   5.83359324E-03   2.72014625E-03 
