R_toa(555)  R_toa(659)  R_toa(865)  R_toa(1375)  R_toa(1610)  R_toa(2250)  
  4.40329135E-02   2.23597347E-02   8.79280958E-03   1.05194058E-04   4.28750880E-03   3.33996234E-03 
  2.16928675E-02   9.02379165E-03   3.11505232E-03   9.63305294E-05   3.77561645E-04   9.88402171E-05 
  1.62654350E-02   7.29335832E-03   2.76768336E-03   1.06173185E-04   3.15709293E-04   9.69501145E-05 
  1.42157255E-02   6.24664580E-03   2.10078156E-03   1.06118953E-04   2.14242193E-04   8.20781965E-05 
  4.24353314E-02   2.69602708E-02   1.75583726E-02   1.67206716E-04   6.50564242E-03   3.15156931E-03 
  2.02569317E-02   1.07578689E-02   2.62740494E-03   1.01843961E-04   3.12963798E-04   1.44194726E-04 
  2.16016625E-02   1.01783194E-02   4.35503409E-03   9.06051202E-05   6.77224805E-04   2.91682087E-04 
  1.26168437E-02   5.49411962E-03   1.79660892E-03   9.49984045E-05   1.70545076E-04   5.94073774E-05 
  2.43508174E-02   1.74613887E-02   1.13766283E-02   5.62061118E-05   5.58047601E-03   3.75085157E-03 
  2.71632906E-02   1.17929692E-02   3.32735802E-03   1.35784937E-04   2.63026031E-04   7.79960727E-05 
  2.00397594E-02   8.87880745E-03   3.63060170E-03   9.94303938E-05   4.81853165E-04   1.39257924E-04 
  4.05288326E-02   2.14546651E-02   3.64517869E-03   1.13223334E-04   2.30039439E-04   6.76150809E-05 
  1.57665328E-02   9.40763542E-03   5.12397948E-03   8.50655331E-05   2.20525632E-03   1.48615573E-03 
  1.76795852E-02   6.83837647E-03   2.32109305E-03   9.58633469E-05   2.81690609E-04   9.92198008E-05 
  4.17944258E-02   2.48483747E-02   1.16491320E-02   1.01511679E-04   1.97683893E-03   6.64657088E-04 
  2.53031473E-02   9.24268050E-03   2.31157876E-03   1.07250479E-04   1.68035127E-04   4.22988724E-05 
  3.56612157E-02   2.37309307E-02   1.31611787E-02   1.03554879E-04   1.90966634E-03   4.72393145E-04 
  3.37003189E-02   1.85594621E-02   3.73620278E-03   1.10886265E-04   3.72173480E-04   1.17460760E-04 
  3.43984063E-02   1.59573966E-02   2.72665443E-03   7.39585258E-05   4.41264617E-04   2.96955645E-04 
  1.40276749E-02   7.51190434E-03   3.15260791E-03   1.00827987E-04   5.06571393E-04   2.06723416E-04 
  2.44441392E-02   1.15688028E-02   4.51918372E-03   1.27015478E-04   4.59753146E-04   1.51552753E-04 
  6.14900949E-02   4.69161268E-02   3.31797727E-02   1.14567582E-04   1.15650491E-02   7.16145122E-03 
  3.02108660E-02   9.96644913E-03   2.36366017E-03   1.03426613E-04   1.98458498E-04   6.82443573E-05 
  4.04906768E-02   2.88902140E-02   1.70570640E-02   1.17391188E-04   2.59409697E-03   5.10403791E-04 
  2.73801939E-02   9.87670627E-03   2.39857646E-03   9.86012414E-05   2.96094933E-04   1.41740027E-04 
  3.68706115E-02   1.80266582E-02   6.66230871E-03   1.84640521E-04   1.51705918E-03   7.57913971E-04 
  1.43698607E-02   6.85857006E-03   1.57300369E-03   5.64244215E-05   1.06050288E-04   2.51591903E-05 
  5.27086381E-02   3.54374394E-02   2.06555045E-02   1.37839413E-04   4.95169687E-03   2.30218306E-03 
  3.65836488E-02   1.41974645E-02   4.04280413E-03   1.72637547E-04   3.22626404E-04   9.04205760E-05 
  2.14921728E-02   1.34873136E-02   7.49834136E-03   6.20185724E-05   1.42985317E-03   5.53476410E-04 
  1.69337738E-02   7.21297575E-03   2.17291385E-03   1.07778507E-04   2.19798523E-04   7.69183790E-05 
  2.41756753E-02   9.85406307E-03   2.00785878E-03   7.02951363E-05   2.11579070E-04   8.34354493E-05 
  2.23903372E-02   8.38236002E-03   2.44169705E-03   1.06055751E-04   5.60011709E-04   4.25218279E-04 
  2.62800301E-02   2.14653160E-02   3.64513590E-03   1.01833340E-04   2.16734852E-04   7.66899359E-05 
  2.74711296E-02   1.44246741E-02   6.99112497E-03   1.00950789E-04   1.10176269E-03   4.03449941E-04 
  3.69161667E-02   2.20604516E-02   1.25624586E-02   1.45228808E-04   2.90654341E-03   9.77070554E-04 
  2.19824441E-02   9.04158725E-03   2.38574399E-03   9.38564783E-05   2.49975470E-04   8.67692355E-05 
  1.75039296E-02   8.44513850E-03   2.09677618E-03   9.62134688E-05   1.57435679E-04   4.43929894E-05 
  1.41654010E-02   6.11410157E-03   2.03011685E-03   1.08485939E-04   1.69462994E-04   4.38594259E-05 
  1.52756021E-02   5.78675139E-03   1.78417801E-03   9.12469839E-05   1.49539895E-04   4.39018519E-05 
  2.45254612E-02   1.75508495E-02   3.59955927E-03   7.13940696E-05   2.74680111E-04   1.07457415E-04 
  2.01130112E-02   1.10391058E-02   5.28315541E-03   6.94728195E-05   1.33069578E-03   7.86571138E-04 
  1.93300834E-02   8.69720066E-03   3.97051002E-03   7.91871166E-05   1.02570348E-03   6.30740782E-04 
  3.07372269E-02   1.41341909E-02   6.62216879E-03   9.76804359E-05   1.56118793E-03   6.61091270E-04 
  2.13611478E-02   8.41346850E-03   2.11843897E-03   9.87151197E-05   1.58613773E-04   4.05737463E-05 
  1.93355096E-02   1.24946633E-02   2.54172159E-03   5.89709247E-05   1.96181336E-04   8.97467678E-05 
  3.40507409E-02   1.21533001E-02   3.12880437E-03   1.12268636E-04   5.50951291E-04   2.93105012E-04 
  1.33131086E-02   7.09424536E-03   2.94918661E-03   7.10166894E-05   3.29505261E-04   1.04036309E-04 
  2.28196887E-02   8.41311484E-03   2.19754737E-03   1.07118680E-04   1.73650749E-04   5.05520580E-05 
  1.57484049E-02   7.04324507E-03   2.53295038E-03   1.11354342E-04   2.68434607E-04   6.85336516E-05 
  2.07413680E-02   8.88001504E-03   2.93956645E-03   1.43733446E-04   2.47559387E-04   6.60676251E-05 
  3.60474911E-02   2.29947596E-02   1.27765311E-02   1.34287902E-04   1.62944998E-03   3.90814388E-04 
  2.26015701E-02   1.07430114E-02   4.91736782E-03   1.15912442E-04   1.33213180E-03   6.78088849E-04 
  1.47666751E-02   6.45287120E-03   2.16721718E-03   1.11358549E-04   2.10188998E-04   6.83620980E-05 
  1.84736989E-02   9.24748994E-03   2.07647132E-03   7.58110870E-05   1.52042761E-04   4.85158680E-05 
  3.36199946E-02   2.46117920E-02   1.75592225E-02   8.76765683E-05   1.05807971E-02   8.37682796E-03 
  3.73147699E-02   1.66941220E-02   4.36616367E-03   1.16825561E-04   9.65232060E-04   4.84460274E-04 
  1.75365961E-02   9.04846548E-03   3.83642716E-03   1.04620814E-04   4.96030071E-04   1.49235277E-04 
  3.26653410E-02   1.91484561E-02   1.01325129E-02   1.49817298E-04   1.73795536E-03   4.67769503E-04 
  3.38192761E-02   1.34283658E-02   3.29253373E-03   1.35516436E-04   2.54263121E-04   6.59656298E-05 
  8.95286555E-03   4.73019540E-03   2.11624098E-03   5.02974068E-05   4.12756756E-04   2.25040158E-04 
  2.59358402E-02   1.71995135E-02   9.10828285E-03   8.82791659E-05   2.07595142E-03   7.06976964E-04 
  3.62793224E-02   2.37987656E-02   1.11700138E-02   1.37038294E-04   2.43384456E-03   1.24985420E-03 
  2.94447919E-02   2.16239929E-02   1.81144811E-02   9.06227510E-05   1.54037221E-02   1.27416390E-02 
  2.68019507E-02   9.41790195E-03   2.80170866E-03   1.11773946E-04   3.08089517E-04   1.22108819E-04 
  1.48632119E-02   6.70138892E-03   2.50466466E-03   1.02455021E-04   3.86606992E-04   1.46487390E-04 
  1.56184499E-02   9.29500693E-03   4.75298660E-03   5.74223141E-05   1.15043333E-03   7.16859145E-04 
  4.45396132E-02   3.76911935E-02   3.63037433E-02   1.11032857E-04   3.37491339E-02   2.75700292E-02 
  2.72777509E-02   1.51801938E-02   4.18611718E-03   1.10488545E-04   4.87546721E-04   1.44067391E-04 
  3.41988283E-02   1.85073547E-02   8.62920464E-03   1.82646470E-04   1.42646473E-03   4.51122208E-04 
  1.33581830E-02   9.30136592E-03   4.85128368E-03   5.18189314E-05   7.21014102E-04   2.28586955E-04 
  3.66507335E-02   1.90571275E-02   8.89280043E-03   1.26687928E-04   1.39056610E-03   4.29020640E-04 
  3.62277072E-02   1.83238476E-02   4.30073513E-03   1.65680444E-04   3.19215515E-04   8.47281170E-05 
  1.57938430E-02   7.18222437E-03   2.91460451E-03   6.36781378E-05   3.24325438E-04   8.56635540E-05 
  2.06460271E-02   1.13464225E-02   5.48159119E-03   8.28879134E-05   1.10733505E-03   6.09492395E-04 
  1.25273663E-02   5.95878587E-03   2.27267262E-03   8.87029629E-05   3.26201648E-04   1.39414595E-04 
  1.98349840E-02   8.48275501E-03   2.78935293E-03   1.25390019E-04   3.30702046E-04   1.29714649E-04 
  2.19897414E-02   1.16175801E-02   4.68381763E-03   1.45956450E-04   1.02070903E-03   4.85556246E-04 
  2.25910976E-02   1.05139579E-02   3.35425689E-03   1.45321548E-04   3.08102444E-04   9.04270648E-05 
  4.02254801E-02   3.15944229E-02   2.00130205E-02   6.17606619E-05   3.43489605E-03   1.65863612E-03 
  1.44757836E-02   6.87642528E-03   1.95923809E-03   9.62478766E-05   1.93595126E-04   7.75525285E-05 
  1.31944379E-02   5.56881658E-03   1.69991817E-03   8.12179233E-05   1.35274093E-04   3.33008673E-05 
  3.25957648E-02   2.30046227E-02   1.37068126E-02   9.12972759E-05   2.18528655E-03   6.32427483E-04 
  2.14455540E-02   9.68708809E-03   4.31105949E-03   9.34462428E-05   1.26660468E-03   7.52775820E-04 
  1.07130925E-02   4.57317411E-03   1.48102990E-03   6.84495635E-05   1.20296511E-04   3.21976451E-05 
  1.31208833E-02   4.95913917E-03   1.55025609E-03   7.40236027E-05   1.25188875E-04   3.33193267E-05 
  3.19140190E-02   2.05026996E-02   1.09489000E-02   7.01577497E-05   1.92360562E-03   1.03191944E-03 
  1.45488645E-02   7.03609405E-03   2.91395450E-03   9.71473867E-05   4.87800872E-04   1.90165010E-04 
  2.72427389E-02   1.59364047E-02   8.48300441E-03   9.40075956E-05   2.41095021E-03   1.29069992E-03 
  2.90037283E-02   1.10685182E-02   3.00043038E-03   1.10600820E-04   2.47342757E-04   7.42591145E-05 
  3.74590350E-02   2.93912778E-02   2.20343703E-02   6.79034234E-05   1.66289877E-02   1.33137657E-02 
