t(555)  t(659)  t(865)  t(1375)  t(1610)  t(2250)  
  8.46450641E-01   9.06187895E-01   9.55720252E-01   9.83205331E-01   9.89266283E-01   9.94413501E-01 
  8.68105102E-01   9.29026910E-01   9.74562372E-01   9.94711710E-01   9.96860125E-01   9.98744381E-01 
  8.86665515E-01   9.39021857E-01   9.78482233E-01   9.95876464E-01   9.97479458E-01   9.98856240E-01 
  8.97016831E-01   9.41266785E-01   9.74387466E-01   9.90965655E-01   9.93341582E-01   9.95641560E-01 
  8.06117774E-01   8.58944254E-01   9.06034177E-01   9.39403231E-01   9.44680560E-01   9.54619515E-01 
  8.87689765E-01   9.39977988E-01   9.78281705E-01   9.95954575E-01   9.97713742E-01   9.99202283E-01 
  8.37091205E-01   9.02635263E-01   9.55153107E-01   9.80178908E-01   9.86757290E-01   9.91006809E-01 
  7.68372313E-01   8.39781420E-01   9.09892730E-01   9.69890385E-01   9.80046979E-01   9.89468315E-01 
  8.37908535E-01   9.04408213E-01   9.56785175E-01   9.84699370E-01   9.88055648E-01   9.91966186E-01 
  7.62017492E-01   8.37103524E-01   9.12491753E-01   9.67262526E-01   9.75262307E-01   9.83387880E-01 
  8.98110734E-01   9.44252054E-01   9.77321712E-01   9.93460756E-01   9.95381142E-01   9.97215935E-01 
  9.14779082E-01   9.54441687E-01   9.83042931E-01   9.96739174E-01   9.97775879E-01   9.99278864E-01 
  6.49424504E-01   7.33052803E-01   8.32816959E-01   9.39832480E-01   9.61090967E-01   9.81761056E-01 
  8.46039313E-01   9.14920138E-01   9.66982868E-01   9.74678182E-01   9.83401522E-01   9.92583380E-01 
  8.71070135E-01   9.28463612E-01   9.71685830E-01   9.87609396E-01   9.91494863E-01   9.97245734E-01 
  8.76548852E-01   9.28257407E-01   9.68678214E-01   9.92695511E-01   9.95493177E-01   9.97869510E-01 
  8.50962822E-01   9.04504219E-01   9.51158224E-01   9.84234368E-01   9.89224806E-01   9.93806504E-01 
  8.72660030E-01   9.23655281E-01   9.62061965E-01   9.78131041E-01   9.80120968E-01   9.82836516E-01 
  8.58462964E-01   9.23711679E-01   9.60717411E-01   9.95187264E-01   9.97279593E-01   9.99056404E-01 
  4.63401688E-01   5.61294549E-01   7.06592871E-01   8.64603234E-01   8.91901194E-01   9.18769005E-01 
  9.10610813E-01   9.52200425E-01   9.82633431E-01   9.96756104E-01   9.98134505E-01   9.99323776E-01 
  7.99910333E-01   8.68504533E-01   9.26820736E-01   9.72528819E-01   9.80445254E-01   9.89093883E-01 
  9.10954285E-01   9.50930373E-01   9.81991726E-01   9.96438838E-01   9.97860859E-01   9.99123187E-01 
  8.74100168E-01   9.23431870E-01   9.64362655E-01   9.89188539E-01   9.92468584E-01   8.48144618E-01 
  6.72963532E-01   7.56496873E-01   8.53108570E-01   9.38155560E-01   9.51431012E-01   9.64675461E-01 
  8.49551564E-01   9.19792786E-01   9.70928836E-01   9.94969394E-01   9.97248555E-01   9.99204067E-01 
  8.52303095E-01   9.06929593E-01   9.51935661E-01   9.82410834E-01   9.86931223E-01   9.91315462E-01 
  8.64056255E-01   9.27345140E-01   9.74497405E-01   9.94691659E-01   9.96741347E-01   9.98574505E-01 
