R_toa(412)  R_toa(443)  R_toa(486)  R_toa(551)  R_toa(671)  R_toa(745)  R_toa(862)  R_toa(1238)  R_toa(1610)  R_toa(2257)  
  3.62143721E-02   2.73548535E-02   1.95440202E-02   1.33536154E-02   6.96901533E-03   3.92898945E-03   2.34998608E-03   5.59484653E-04   2.11680616E-04   5.43724578E-05 
  3.72040824E-02   2.79491663E-02   2.02599656E-02   1.45871335E-02   7.46284111E-03   4.13172964E-03   2.49756016E-03   7.06640639E-04   4.16167898E-04   2.77228365E-04 
  3.94091770E-02   3.00679395E-02   2.21870798E-02   1.58488051E-02   7.56423722E-03   4.47230978E-03   2.68261358E-03   6.85876630E-04   3.01235603E-04   1.15005737E-04 
  5.21798652E-02   4.14133306E-02   3.02331275E-02   1.95596758E-02   9.08704411E-03   6.03937384E-03   3.77023029E-03   1.10776117E-03   4.89923955E-04   1.86738996E-04 
  2.20817489E-02   1.72089856E-02   1.25739781E-02   8.20496023E-03   3.82430358E-03   2.38280644E-03   1.38943199E-03   3.11887303E-04   1.13325904E-04   3.22140689E-05 
  3.80505725E-02   2.92936001E-02   2.26004400E-02   1.85188855E-02   9.14574451E-03   4.46688160E-03   2.58394392E-03   4.71063458E-04   1.64137430E-04   4.19745195E-05 
  3.38234342E-02   2.56924149E-02   1.88407515E-02   1.35171672E-02   5.81910467E-03   3.29235629E-03   1.88955049E-03   4.05058346E-04   1.48068458E-04   4.25520461E-05 
  3.28331531E-02   2.56006829E-02   1.85681209E-02   1.17994242E-02   5.20830623E-03   3.27764228E-03   1.88029353E-03   4.11641935E-04   1.44126223E-04   3.58689414E-05 
  5.59975409E-02   4.83017186E-02   4.05872882E-02   3.36340142E-02   1.52627095E-02   6.88808608E-03   4.59983531E-03   8.04671444E-04   2.70125012E-04   6.70204572E-05 
  5.61399129E-02   4.50186555E-02   3.46425866E-02   2.63077013E-02   1.80868866E-02   1.01739633E-02   7.04953856E-03   2.95846640E-03   1.81346803E-03   8.54121563E-04 
