t(412)  t(443)  t(486)  t(551)  t(671)  t(745)  t(862)  t(1238)  t(1610)  t(2257)  
  8.10197862E-01   8.54320143E-01   8.94732880E-01   9.31940925E-01   9.64726730E-01   9.75591700E-01   9.84711791E-01   9.95438019E-01   9.98054597E-01   9.99202631E-01 
  4.83828292E-01   5.10928790E-01   5.47148739E-01   5.98991594E-01   6.91045731E-01   7.38313149E-01   7.96514097E-01   9.06471203E-01   9.51241582E-01   9.73255716E-01 
  7.95196658E-01   8.26226634E-01   8.80178795E-01   9.20106772E-01   9.60292899E-01   9.73281075E-01   9.84020072E-01   9.95652702E-01   9.98220998E-01   9.99467090E-01 
  8.28219058E-01   8.68302028E-01   9.04904631E-01   9.38365243E-01   9.69468039E-01   9.78846632E-01   9.87052406E-01   9.95697464E-01   9.97582985E-01   9.98582339E-01 
  8.49376066E-01   8.88161176E-01   9.22777181E-01   9.52492859E-01   9.75608892E-01   9.82012092E-01   9.88896590E-01   9.96566183E-01   9.98414768E-01   9.99364712E-01 
  7.39622139E-01   7.81963291E-01   8.30973617E-01   8.81122890E-01   9.36847354E-01   9.55637196E-01   9.71315212E-01   9.89980725E-01   9.94678667E-01   9.97050874E-01 
  8.76752063E-01   9.10393447E-01   9.38334842E-01   9.61540245E-01   9.81883647E-01   9.87982909E-01   9.93110491E-01   9.98361414E-01   9.99394469E-01   9.99842121E-01 
  8.61798149E-01   8.97483876E-01   9.28533625E-01   9.54852194E-01   9.78181416E-01   9.84657376E-01   9.91015778E-01   9.97802901E-01   9.99183124E-01   9.99765617E-01 
  8.51866163E-01   8.89374074E-01   9.22090147E-01   9.50699212E-01   9.76159534E-01   9.83735946E-01   9.90560354E-01   9.97675120E-01   9.99085375E-01   9.99693705E-01 
  8.36551500E-01   8.78741916E-01   9.14832422E-01   9.46527225E-01   9.74669144E-01   9.83358002E-01   9.90497078E-01   9.97763028E-01   9.99158312E-01   9.99767577E-01 
  6.87299963E-01   7.52298593E-01   8.15830815E-01   8.78628573E-01   9.37365495E-01   9.57929502E-01   9.75779132E-01   9.94053064E-01   9.97749722E-01   9.99296955E-01 
  7.52214093E-01   8.02007826E-01   8.48967154E-01   8.91996801E-01   9.33723524E-01   9.46562386E-01   9.60006782E-01   9.78534216E-01   9.85239358E-01   9.89497100E-01 
  6.61949319E-01   7.06466672E-01   7.49899274E-01   7.95606399E-01   8.57260609E-01   8.68488145E-01   8.93663583E-01   9.45073769E-01   9.70825615E-01   9.83866467E-01 
  7.38571560E-01   7.90011330E-01   8.42183107E-01   8.93608170E-01   9.45608278E-01   9.62736152E-01   9.77347540E-01   9.93758726E-01   9.97370496E-01   9.98473723E-01 
  5.94124325E-01   6.36998867E-01   6.84939494E-01   7.40344674E-01   8.14061988E-01   8.51939727E-01   8.86124989E-01   9.40115168E-01   9.60006887E-01   9.70317712E-01 
  8.48116897E-01   8.84036712E-01   9.15941007E-01   9.45296888E-01   9.73857177E-01   9.82584015E-01   9.89816550E-01   9.97428722E-01   9.98930822E-01   9.99580070E-01 
  8.36277186E-01   8.77707193E-01   9.13203537E-01   9.44574575E-01   9.73466814E-01   9.81909841E-01   9.89592864E-01   9.97540701E-01   9.99068866E-01   9.99726268E-01 
  8.37676203E-01   8.77097144E-01   9.11296702E-01   9.42144561E-01   9.70904456E-01   9.78277462E-01   9.85895184E-01   9.93673749E-01   9.95366613E-01   9.96345438E-01 
  8.00141228E-01   8.47498682E-01   8.87993457E-01   9.25856794E-01   9.56987542E-01   9.68078566E-01   9.78323262E-01   9.91294417E-01   9.95671357E-01   9.98038473E-01 
  6.97641619E-01   7.57910902E-01   8.18135117E-01   8.78467270E-01   9.37759815E-01   9.57422272E-01   9.74260135E-01   9.92285022E-01   9.96004410E-01   9.97681115E-01 
  7.27828095E-01   7.83434558E-01   8.35842273E-01   8.86621336E-01   9.36767087E-01   9.53770298E-01   9.77289098E-01   9.88304847E-01   9.93110730E-01   9.95356913E-01 
  8.45011526E-01   8.86984292E-01   9.20758019E-01   9.50375117E-01   9.74081761E-01   9.81257045E-01   9.89008095E-01   9.97260211E-01   9.98941565E-01   9.99655906E-01 
  8.51652819E-01   8.87793364E-01   9.19533101E-01   9.48240662E-01   9.75091669E-01   9.83062545E-01   9.90127753E-01   9.97536485E-01   9.99194194E-01   9.99665559E-01 
  8.43711217E-01   8.84703145E-01   9.20098953E-01   9.51533718E-01   9.77142532E-01   9.84815759E-01   9.91092513E-01   9.97247629E-01   9.98660117E-01   9.99487720E-01 
  7.56248004E-01   8.05729237E-01   8.54839293E-01   9.03293438E-01   9.51814649E-01   9.68094293E-01   9.81068410E-01   9.94969821E-01   9.97871485E-01   9.99122198E-01 
  8.45354300E-01   8.82055650E-01   9.13373236E-01   9.41149960E-01   9.66330620E-01   9.70549610E-01   9.76730520E-01   9.82422598E-01   9.84421499E-01   9.86636720E-01 
  8.67429258E-01   8.97581826E-01   9.24318147E-01   9.48813124E-01   9.75040670E-01   9.82391293E-01   9.88582441E-01   9.95988012E-01   9.98018357E-01   9.99046296E-01 
  8.55791280E-01   8.93751669E-01   9.25817298E-01   9.53334385E-01   9.76774565E-01   9.83233808E-01   9.90182772E-01   9.97548255E-01   9.99030671E-01   9.99666003E-01 
  7.92544328E-01   8.22113017E-01   8.66159388E-01   9.08789793E-01   9.54287659E-01   9.68689318E-01   9.80999215E-01   9.94306408E-01   9.97003722E-01   9.98230402E-01 
  8.28199621E-01   8.72527760E-01   9.10049224E-01   9.43699547E-01   9.70825073E-01   9.79802720E-01   9.87702797E-01   9.96334683E-01   9.98405744E-01   9.99353125E-01 
  5.76025883E-01   6.19654382E-01   6.66997037E-01   7.22983398E-01   8.01591816E-01   8.40769865E-01   8.80469622E-01   9.48056372E-01   9.75677726E-01   9.89455559E-01 
  8.41437854E-01   8.80314524E-01   9.13643933E-01   9.43049313E-01   9.69434456E-01   9.76994784E-01   9.85009549E-01   9.94549187E-01   9.97126312E-01   9.98405607E-01 
  7.21802909E-01   7.72961185E-01   8.25641853E-01   8.76616709E-01   9.16170136E-01   9.24892824E-01   9.41624862E-01   9.70226572E-01   9.83949331E-01   9.91753598E-01 
  7.32499602E-01   7.84808272E-01   8.37910463E-01   8.91807633E-01   9.46189548E-01   9.64501181E-01   9.79179393E-01   9.94818100E-01   9.97961424E-01   9.99299802E-01 
  8.36088252E-01   8.77784344E-01   9.14026104E-01   9.46644599E-01   9.74151696E-01   9.82808843E-01   9.90079658E-01   9.97513319E-01   9.99008649E-01   9.99683925E-01 
  8.31766624E-01   8.65227976E-01   9.01063608E-01   9.34979564E-01   9.68370605E-01   9.78748605E-01   9.87579121E-01   9.96845265E-01   9.98670892E-01   9.99431846E-01 
  7.69927763E-01   8.16429937E-01   8.59628512E-01   9.01344128E-01   9.44745708E-01   9.60163242E-01   9.73200908E-01   9.89109434E-01   9.93526296E-01   9.95650978E-01 
  8.59321540E-01   8.96838181E-01   9.27268244E-01   9.54195762E-01   9.76889161E-01   9.83802539E-01   9.90524023E-01   9.97580762E-01   9.99041344E-01   9.99710226E-01 
  7.81838159E-01   8.31596936E-01   8.70763250E-01   9.08215357E-01   9.36987078E-01   9.47894473E-01   9.60528833E-01   9.79018658E-01   9.86847250E-01   9.91312125E-01 
  8.11355964E-01   8.57328422E-01   8.94636586E-01   9.28848419E-01   9.57487165E-01   9.67277340E-01   9.77462762E-01   9.90318554E-01   9.94304851E-01   9.96700462E-01 
  6.98489749E-01   7.54842028E-01   8.03631539E-01   8.55457695E-01   9.05545138E-01   9.25493059E-01   9.45183581E-01   9.73416429E-01   9.84538346E-01   9.92554162E-01 
  7.98967866E-01   8.41112017E-01   8.82783029E-01   9.22974744E-01   9.62790996E-01   9.75173865E-01   9.85466231E-01   9.96302488E-01   9.98464589E-01   9.99403408E-01 
