rho_a(412)  rho_a(443)  rho_a(486)  rho_a(551)  rho_a(671)  rho_a(745)  rho_a(862)  rho_a(1238)  rho_a(1610)  rho_a(2257)  
  1.09786846E-03   1.13373896E-03   1.09674280E-03   9.76316897E-04   7.30439926E-04   5.98155985E-04   4.37063182E-04   1.76796425E-04   8.35857990E-05   3.81472982E-05 
  2.34234193E-03   2.52678432E-03   2.59677298E-03   2.52895813E-03   2.26995096E-03   2.11656405E-03   1.91695347E-03   1.52466235E-03   1.26635284E-03   9.67001498E-04 
  2.07771064E-03   2.04155037E-03   1.90648986E-03   1.65967399E-03   1.27010798E-03   1.08345879E-03   8.61268963E-04   4.52557620E-04   2.54288666E-04   1.29299980E-04 
  2.34509612E-03   2.44764507E-03   2.51512556E-03   2.52576266E-03   2.48022218E-03   2.42527083E-03   2.36937413E-03   2.30958486E-03   2.24026234E-03   1.94926758E-03 
  1.15331573E-03   1.28892777E-03   1.37282323E-03   1.39064253E-03   1.32245124E-03   1.26431094E-03   1.19651481E-03   1.08416047E-03   1.01307893E-03   8.70328545E-04 
  1.62731112E-02   1.81144918E-02   1.89456324E-02   1.82576199E-02   1.48709579E-02   1.26422198E-02   9.74400807E-03   5.01396039E-03   3.44467920E-03   2.61998558E-03 
  3.25268089E-02   3.20358611E-02   3.05563977E-02   2.75555077E-02   2.21107652E-02   1.90982235E-02   1.52843143E-02   7.87566147E-03   4.36366523E-03   2.08284851E-03 
  9.48116421E-05   9.52530181E-05   8.89094576E-05   7.99448481E-05   6.72536290E-05   6.11126185E-05   5.44643282E-05   4.27074416E-05   3.69784980E-05   3.06752098E-05 
  1.84085816E-03   2.22875975E-03   2.49222346E-03   2.51077667E-03   2.08304680E-03   1.75930952E-03   1.33456957E-03   6.64945076E-04   4.73684761E-04   3.89824647E-04 
  1.46259280E-02   1.76922337E-02   1.97060554E-02   1.96144793E-02   1.57016140E-02   1.28925657E-02   9.30494511E-03   3.84753293E-03   2.36374752E-03   1.82673824E-03 
  3.48878097E-04   3.42520552E-04   3.17542114E-04   2.73711259E-04   2.05872698E-04   1.73503172E-04   1.35265269E-04   6.45883368E-05   3.06602232E-05   1.11794940E-05 
  2.26682837E-03   2.21663913E-03   2.11517782E-03   1.94730497E-03   1.68952031E-03   1.55759174E-03   1.38315351E-03   9.93503091E-04   7.52498107E-04   5.08591909E-04 
  1.57197475E-03   1.49512704E-03   1.36392541E-03   1.16767138E-03   8.75282796E-04   7.33858618E-04   5.61257281E-04   2.40855657E-04   9.58518339E-05   2.15453864E-05 
  5.24818540E-02   6.28071156E-02   7.17175291E-02   7.71629739E-02   7.24211238E-02   6.50024053E-02   5.17451336E-02   2.13539488E-02   8.40865600E-03   2.43444968E-03 
  1.02618890E-03   1.09243995E-03   1.11115827E-03   1.05008882E-03   8.58659580E-04   7.37682259E-04   5.70828944E-04   2.59560943E-04   1.25082373E-04   3.91001451E-05 
  5.97108263E-04   6.07215175E-04   5.91562328E-04   5.48194217E-04   4.62494025E-04   4.21367900E-04   3.75750188E-04   3.17510561E-04   3.06486140E-04   2.94136622E-04 
  1.13980543E-03   1.31600833E-03   1.07363249E-03   9.45521330E-04   7.13868029E-04   5.98032859E-04   4.64519584E-04   2.49618791E-04   1.59304638E-04   9.05102731E-05 
  2.18325538E-03   2.27867803E-03   2.25787880E-03   2.09138360E-03   1.68648833E-03   1.45144836E-03   1.14535280E-03   5.81687997E-04   3.35571594E-04   1.78542818E-04 
  3.22449738E-04   3.48872384E-04   3.55752432E-04   3.37189089E-04   2.75748495E-04   2.37262132E-04   1.87521198E-04   9.57694693E-05   5.67178757E-05   3.45171432E-05 
  1.35313011E-04   1.32809617E-04   1.21642979E-04   1.04189981E-04   7.71638613E-05   6.43900490E-05   4.93681033E-05   2.32389041E-05   1.17656911E-05   5.14527240E-06 
  1.57890946E-04   1.53246548E-04   1.39537076E-04   1.20307643E-04   9.23763900E-05   7.95432063E-05   6.43743125E-05   3.74396402E-05   2.46248599E-05   1.62294782E-05 
  1.83894350E-04   1.85083129E-04   1.71708699E-04   1.47231391E-04   1.08896949E-04   9.11087677E-05   7.06797879E-05   3.54668887E-05   1.90296624E-05   8.65775236E-06 
  1.35581224E-03   1.57435180E-03   1.67991963E-03   1.60936873E-03   1.23816146E-03   9.96011298E-04   6.85749123E-04   2.09915782E-04   7.47125299E-05   2.75117427E-05 
  9.10901318E-03   9.21373674E-03   8.88756137E-03   8.08771568E-03   6.79908729E-03   6.21002814E-03   5.51433330E-03   4.05315867E-03   2.98027472E-03   1.68153684E-03 
  3.13108246E-02   3.08007725E-02   2.92023028E-02   2.62165618E-02   2.09159485E-02   1.80183608E-02   1.43454931E-02   6.90206322E-03   3.17502283E-03   1.03642594E-03 
  1.05658495E-03   1.05845633E-03   9.99551987E-04   8.77221077E-04   6.62843094E-04   5.53187381E-04   4.18529791E-04   1.76091992E-04   7.35739494E-05   2.10883679E-05 
  2.30139490E-02   2.34660543E-02   2.30185966E-02   2.12318054E-02   1.72073002E-02   1.48211741E-02   1.17495496E-02   5.99770012E-03   3.50857192E-03   2.09795865E-03 
  1.43465190E-04   1.41894927E-04   1.34616615E-04   1.24112009E-04   1.09749393E-04   1.03186231E-04   9.53105397E-05   7.74756417E-05   6.49876122E-05   4.89390888E-05 
  5.73638370E-05   6.12520157E-05   5.80530866E-05   5.34957822E-05   4.68222933E-05   4.37089728E-05   4.00122864E-05   3.36443304E-05   2.85661891E-05   1.94303484E-05 
  8.68809941E-04   9.87305130E-04   1.09520057E-03   1.19580945E-03   1.24383036E-03   1.22815180E-03   1.19543009E-03   9.63823664E-04   7.63768076E-04   4.87929277E-04 
  5.44974981E-03   5.19000657E-03   4.76500188E-03   4.16525202E-03   3.25712228E-03   2.81512878E-03   2.24798588E-03   1.11580909E-03   5.30603547E-04   1.66832642E-04 
  5.30518403E-04   5.62988917E-04   5.50031615E-04   5.02675948E-04   4.02671168E-04   3.50383352E-04   2.83461640E-04   1.65043552E-04   1.10251633E-04   7.14086748E-05 
  4.68708896E-03   4.73259659E-03   4.46391891E-03   3.85111802E-03   2.86511937E-03   2.42023609E-03   1.91332934E-03   1.02654654E-03   6.00589132E-04   3.35123960E-04 
  2.50674280E-04   2.43749258E-04   2.25883613E-04   1.96813798E-04   1.50172771E-04   1.27225851E-04   9.91947489E-05   4.82738322E-05   2.44590773E-05   1.05813639E-05 
  2.57756046E-04   2.51511418E-04   2.30536181E-04   1.96762583E-04   1.45583695E-04   1.22139737E-04   9.56113743E-05   5.42804816E-05   3.77286933E-05   2.72375491E-05 
