rho_a(412)  rho_a(443)  rho_a(490)  rho_a(510)  rho_a(555)  rho_a(670)  rho_a(765)  rho_a(865)  
  2.57327334E-02   2.57470621E-02   2.49975812E-02   2.43941654E-02   2.30082102E-02   1.92207550E-02   1.62151489E-02   1.35377846E-02 
  1.45976000E-03   1.48316790E-03   1.42975579E-03   1.38693495E-03   1.27563745E-03   9.83906680E-04   7.75261022E-04   6.10815574E-04 
  4.79681500E-02   5.07074185E-02   5.17622225E-02   5.12896843E-02   4.92954792E-02   4.10234934E-02   3.35210199E-02   2.67956035E-02 
  8.80540435E-05   8.63188500E-05   8.05048427E-05   7.80846834E-05   7.22934919E-05   6.09250724E-05   5.38486789E-05   4.87491545E-05 
  1.99943753E-02   1.97999893E-02   1.87809008E-02   1.81910922E-02   1.68087800E-02   1.34425334E-02   1.10318562E-02   9.10053071E-03 
  4.06058613E-04   4.45515548E-04   4.59513178E-04   4.54227680E-04   4.30045538E-04   3.54518724E-04   3.05826787E-04   2.73292197E-04 
  1.11089469E-03   1.14617192E-03   1.19080289E-03   1.19362800E-03   1.21962517E-03   1.26658870E-03   1.30286117E-03   1.34068011E-03 
  1.73202526E-02   1.78555100E-02   1.74717987E-02   1.69936201E-02   1.56676592E-02   1.18203893E-02   8.92351054E-03   6.66035385E-03 
  1.25771834E-03   1.26450081E-03   1.20781777E-03   1.17119963E-03   1.08392080E-03   8.80312412E-04   7.52362114E-04   6.54028123E-04 
  5.73047602E-04   5.83926362E-04   5.60747446E-04   5.41444137E-04   4.91698399E-04   3.61754946E-04   2.70643257E-04   2.02058987E-04 
  1.29712632E-02   1.29739989E-02   1.23138264E-02   1.19066208E-02   1.08846405E-02   8.29211622E-03   6.51017481E-03   5.13619781E-03 
  6.97867080E-03   7.22928883E-03   7.23754226E-03   7.15065079E-03   6.82933532E-03   5.81780559E-03   4.99426151E-03   4.30921181E-03 
  1.82891264E-04   1.90788674E-04   1.87424023E-04   1.82112339E-04   1.68038495E-04   1.32090646E-04   1.08613192E-04   9.17324603E-05 
  3.86939522E-04   3.69940201E-04   3.41651803E-04   3.28716107E-04   3.02648741E-04   2.47062816E-04   2.10685958E-04   1.82676050E-04 
  2.99770393E-02   2.97323583E-02   2.82872660E-02   2.74421496E-02   2.54123633E-02   2.02654451E-02   1.64839800E-02   1.34696763E-02 
  8.29800764E-04   8.11254707E-04   7.48129409E-04   7.15120611E-04   6.39344310E-04   4.68300301E-04   3.57366355E-04   2.76752390E-04 
  2.07495140E-02   2.11245724E-02   2.05123621E-02   1.99245584E-02   1.83390488E-02   1.38910601E-02   1.06544802E-02   8.13587461E-03 
  3.48891470E-03   3.60275857E-03   3.61439696E-03   3.62691773E-03   3.54472131E-03   3.26152826E-03   3.02840763E-03   2.80377049E-03 
  2.30964738E-02   2.29155933E-02   2.21397050E-02   2.16560539E-02   2.05432680E-02   1.76324350E-02   1.54914922E-02   1.36701075E-02 
  3.04643705E-03   3.15416985E-03   3.09009378E-03   3.00219422E-03   2.76570384E-03   2.12896415E-03   1.70017882E-03   1.38119121E-03 
  7.51345465E-03   8.10421623E-03   8.33057777E-03   8.25446964E-03   7.88053539E-03   6.62118884E-03   5.68268436E-03   4.95965711E-03 
  4.33994189E-02   5.07298105E-02   5.76613179E-02   5.91099442E-02   6.06032147E-02   5.85470697E-02   5.51242439E-02   5.19276166E-02 
  2.10759639E-02   2.35458867E-02   2.51520850E-02   2.51955145E-02   2.44860334E-02   2.07422100E-02   1.73262339E-02   1.43545177E-02 
  2.37657216E-04   2.46141305E-04   2.56174386E-04   2.57002075E-04   2.61583238E-04   2.66625810E-04   2.64234355E-04   2.61395025E-04 
  1.59614620E-03   1.57913949E-03   1.50338425E-03   1.45365413E-03   1.35723694E-03   1.12936268E-03   9.93702070E-04   8.79204021E-04 
  4.36305130E-03   4.53210504E-03   4.58925306E-03   4.55148733E-03   4.43723567E-03   4.14505261E-03   3.91285608E-03   3.77112918E-03 
