R_toa(412)  R_toa(443)  R_toa(490)  R_toa(510)  R_toa(555)  R_toa(670)  R_toa(765)  R_toa(865)  
  3.49546387E-02   2.75127926E-02   2.01969067E-02   1.79097124E-02   1.31296171E-02   5.42138289E-03   2.61318306E-03   2.26342408E-03 
  3.45709800E-02   2.68960245E-02   1.91778575E-02   1.70769881E-02   1.36458307E-02   6.21712978E-03   2.88700586E-03   2.64174011E-03 
  2.99743791E-02   2.38781935E-02   1.77108889E-02   1.60138662E-02   1.47206119E-02   7.39927964E-03   2.51612969E-03   2.33806104E-03 
  5.10715024E-02   4.39845940E-02   3.64385767E-02   3.39940050E-02   2.98336930E-02   2.00953857E-02   1.24483979E-02   1.25513691E-02 
  2.50101073E-02   1.99077026E-02   1.45549081E-02   1.28968653E-02   9.46583723E-03   4.29266188E-03   1.97886200E-03   1.83202686E-03 
  7.35275453E-02   6.88406898E-02   6.40528729E-02   6.19817925E-02   5.62792187E-02   3.83105586E-02   2.09010707E-02   2.16073893E-02 
  4.34453492E-02   3.39647670E-02   2.53138846E-02   2.35906257E-02   2.36956318E-02   1.76562809E-02   4.72959146E-03   3.84493065E-03 
  4.46453466E-02   3.89206038E-02   3.41156910E-02   3.29684711E-02   3.13529782E-02   1.73562007E-02   7.87665047E-03   7.78746597E-03 
  4.87208446E-02   4.04204434E-02   3.02969882E-02   2.67051161E-02   1.92954864E-02   9.12433063E-03   4.09613518E-03   3.94908009E-03 
  4.34036375E-02   3.69738028E-02   3.25176683E-02   3.12249460E-02   2.60439101E-02   9.44226121E-03   4.12043512E-03   3.84754136E-03 
  4.23017827E-02   3.64043193E-02   3.13675642E-02   2.99683620E-02   3.11632933E-02   1.88514505E-02   7.19559399E-03   6.67917437E-03 
  3.23805002E-02   2.59894499E-02   2.09747887E-02   1.99941714E-02   1.80223584E-02   6.82093611E-03   2.72048136E-03   2.41612511E-03 
  4.38228681E-02   3.63915747E-02   3.15617932E-02   3.09665950E-02   3.08196639E-02   1.21871458E-02   3.51752034E-03   3.04162330E-03 
  3.87125230E-02   3.20945627E-02   2.48550157E-02   2.23786787E-02   1.72348621E-02   9.99460084E-03   5.66026750E-03   5.39440563E-03 
  2.85354785E-02   2.35440365E-02   1.92203069E-02   1.82648906E-02   1.80749127E-02   9.53991610E-03   3.94366069E-03   3.97265334E-03 
  7.03789236E-02   5.69873359E-02   4.18691913E-02   3.68472257E-02   2.65016870E-02   1.20865012E-02   5.52071369E-03   5.10312184E-03 
  3.58088862E-02   2.86804272E-02   2.22532735E-02   2.05122623E-02   1.63402500E-02   6.30838724E-03   2.76836806E-03   2.35819614E-03 
