t(412)  t(443)  t(490)  t(510)  t(555)  t(670)  t(765)  t(865)  
  7.87022955E-01   8.19032504E-01   8.55858149E-01   8.66919851E-01   8.90548564E-01   9.30616368E-01   9.48670223E-01   9.57747234E-01 
  7.03731222E-01   7.51245588E-01   8.09280246E-01   8.27147357E-01   8.56884611E-01   8.78705741E-01   8.87491462E-01   9.02880592E-01 
  7.37872078E-01   7.84456961E-01   8.37376474E-01   8.53660968E-01   8.83512261E-01   9.26792522E-01   9.46054168E-01   9.53661268E-01 
  8.01697165E-01   8.41562628E-01   8.85262394E-01   8.98249743E-01   9.21784979E-01   9.57774912E-01   9.73077312E-01   9.79302574E-01 
  7.03648749E-01   7.43818410E-01   7.89921740E-01   8.04617207E-01   8.31721428E-01   8.79306434E-01   9.03611258E-01   9.18534970E-01 
  8.63342921E-01   8.96639296E-01   9.30850861E-01   9.40236886E-01   9.56398043E-01   9.77685668E-01   9.86732732E-01   9.90049697E-01 
  8.41871141E-01   8.79044264E-01   9.17771753E-01   9.28560429E-01   9.47155095E-01   9.72214989E-01   9.81660448E-01   9.85397865E-01 
  8.15610975E-01   8.54511226E-01   8.96689799E-01   9.09206881E-01   9.31884318E-01   9.65981539E-01   9.79972039E-01   9.84943692E-01 
  7.86547094E-01   8.28305045E-01   8.73979284E-01   8.87170633E-01   9.08945442E-01   9.42341376E-01   9.54812431E-01   9.61819709E-01 
  8.70100644E-01   9.02822912E-01   9.34929836E-01   9.43624320E-01   9.58832309E-01   9.79271923E-01   9.87210836E-01   9.90258433E-01 
  5.60968593E-01   6.01386620E-01   6.53638557E-01   6.72130579E-01   7.08919176E-01   7.77821654E-01   8.24476721E-01   8.55422869E-01 
  8.19611812E-01   8.59313366E-01   9.01770230E-01   9.13999254E-01   9.35749864E-01   9.67878176E-01   9.81053939E-01   9.85704563E-01 
  8.12544336E-01   8.45131383E-01   8.77282912E-01   8.86556585E-01   9.03919510E-01   9.44989030E-01   9.58381101E-01   9.64042781E-01 
  7.83551038E-01   8.31864133E-01   8.83145404E-01   8.98305293E-01   9.24829072E-01   9.61091400E-01   9.75992971E-01   9.81925938E-01 
  8.47928685E-01   8.81208674E-01   9.15974769E-01   9.26064212E-01   9.44322138E-01   9.69959396E-01   9.78776074E-01   9.82532363E-01 
  7.67439318E-01   8.05571980E-01   8.48181044E-01   8.61494349E-01   8.86110400E-01   9.28515699E-01   9.49907252E-01   9.60466829E-01 
  8.46024946E-01   8.79179953E-01   9.14456081E-01   9.24769860E-01   9.43598515E-01   9.71728771E-01   9.82626356E-01   9.86759595E-01 
  7.66572554E-01   8.13325796E-01   8.66498675E-01   8.82605581E-01   9.12083686E-01   9.54926488E-01   9.73608091E-01   9.80328843E-01 
  8.17113425E-01   8.54366696E-01   8.94493467E-01   9.06119546E-01   9.26712622E-01   9.56410291E-01   9.69996004E-01   9.75825125E-01 
  8.69670730E-01   8.98777616E-01   9.27577076E-01   9.35504497E-01   9.49065607E-01   9.74878702E-01   9.84719495E-01   9.87619382E-01 
  6.99879101E-01   7.59219921E-01   8.27586609E-01   8.48185175E-01   8.85631543E-01   9.40208369E-01   9.63786218E-01   9.72754138E-01 
  8.66288748E-01   8.98961334E-01   9.31431407E-01   9.40351242E-01   9.56130136E-01   9.77713721E-01   9.86239316E-01   9.89615806E-01 
  6.96823693E-01   7.38571648E-01   7.85347519E-01   8.00072765E-01   8.27243921E-01   8.80310525E-01   9.03031440E-01   9.19394962E-01 
  8.22505591E-01   8.59431459E-01   8.99801935E-01   9.11847941E-01   9.33952234E-01   9.66400990E-01   9.79704100E-01   9.84690159E-01 
  7.19342164E-01   7.57805577E-01   8.03170600E-01   8.18075174E-01   8.47138140E-01   8.98303521E-01   9.23833562E-01   9.38798112E-01 
  8.53652982E-01   8.87255456E-01   9.21131723E-01   9.30477913E-01   9.46846918E-01   9.68918564E-01   9.74105736E-01   9.78127468E-01 
  7.58974720E-01   7.94366644E-01   8.31599426E-01   8.42936276E-01   8.64455794E-01   9.09540804E-01   9.20731726E-01   9.30392345E-01 
  8.28331412E-01   8.63681548E-01   9.02330046E-01   9.13854863E-01   9.34893756E-01   9.66333357E-01   9.78936435E-01   9.83767168E-01 
  6.34466432E-01   6.88500174E-01   7.54059800E-01   7.75109537E-01   8.15643609E-01   8.79559035E-01   9.10507102E-01   9.25919502E-01 
  6.82000504E-01   7.17116011E-01   7.59308573E-01   7.74279654E-01   8.04615289E-01   8.58344273E-01   8.82836454E-01   8.95561403E-01 
  6.65996756E-01   7.09490085E-01   7.63622557E-01   7.79209384E-01   8.14155431E-01   8.76129808E-01   9.06937444E-01   9.24181403E-01 
  8.54781330E-01   8.87828344E-01   9.21707826E-01   9.31377738E-01   9.48916092E-01   9.74689945E-01   9.83858652E-01   9.87555708E-01 
  8.49667444E-01   8.86105889E-01   9.23387867E-01   9.33539787E-01   9.50791917E-01   9.72163011E-01   9.79883228E-01   9.84313017E-01 
  8.17365565E-01   8.52889203E-01   8.91147090E-01   9.02395817E-01   9.22581076E-01   9.55039214E-01   9.69292482E-01   9.74339253E-01 
  8.44283411E-01   8.80752110E-01   9.18154421E-01   9.28412915E-01   9.46131884E-01   9.71313326E-01   9.80755350E-01   9.85087582E-01 
  8.30561857E-01   8.67487736E-01   9.05300586E-01   9.16431462E-01   9.35423035E-01   9.60617368E-01   9.71379477E-01   9.75856653E-01 
  7.48660986E-01   7.99158069E-01   8.55027539E-01   8.72231784E-01   9.03861633E-01   9.50473351E-01   9.69877260E-01   9.77115544E-01 
  8.63304754E-01   8.91060089E-01   9.20369522E-01   9.29067579E-01   9.44585458E-01   9.70868567E-01   9.83144261E-01   9.87044102E-01 
  8.68451905E-01   8.98607384E-01   9.29098934E-01   9.37793226E-01   9.53703591E-01   9.77199758E-01   9.84707169E-01   9.87685353E-01 
  7.31187229E-01   7.83278281E-01   8.41326832E-01   8.58368085E-01   8.88514419E-01   9.31967299E-01   9.54123223E-01   9.63837743E-01 
  7.37180137E-01   7.81560418E-01   8.30170653E-01   8.44894918E-01   8.73140026E-01   9.11751336E-01   9.27528219E-01   9.40392437E-01 
  6.59123166E-01   7.05338675E-01   7.62588137E-01   7.81113980E-01   8.15806630E-01   8.66063833E-01   8.91132672E-01   9.10183449E-01 
  6.94170374E-01   7.35165716E-01   7.82074501E-01   7.96534932E-01   8.23147886E-01   8.76911073E-01   9.05933978E-01   9.22874345E-01 
  5.85333637E-01   6.36127721E-01   7.00196348E-01   7.21627005E-01   7.62464784E-01   8.35182249E-01   8.77553709E-01   9.04029272E-01 
  7.80657075E-01   8.23084918E-01   8.69798486E-01   8.83745030E-01   9.09061707E-01   9.46337579E-01   9.61319705E-01   9.66802165E-01 
  6.77865263E-01   7.26319030E-01   7.84185650E-01   8.01930855E-01   8.34446899E-01   8.77295603E-01   9.00228827E-01   9.18619944E-01 
  8.35564486E-01   8.74283533E-01   9.15539962E-01   9.27093552E-01   9.46781369E-01   9.72305292E-01   9.82694934E-01   9.87362877E-01 
  8.48204341E-01   8.84924233E-01   9.23321031E-01   9.33868902E-01   9.51714272E-01   9.75837950E-01   9.85998400E-01   9.89666016E-01 
  6.92994224E-01   7.48146489E-01   8.14635611E-01   8.35856492E-01   8.75504534E-01   9.36160466E-01   9.62378030E-01   9.71451157E-01 
  8.23442886E-01   8.55592690E-01   8.89516014E-01   8.99586385E-01   9.18224300E-01   9.47962273E-01   9.58821250E-01   9.63674957E-01 
  7.99349991E-01   8.39282810E-01   8.82429730E-01   8.94689800E-01   9.16082873E-01   9.43697290E-01   9.53880601E-01   9.62317346E-01 
  8.46730661E-01   8.83883345E-01   9.22035244E-01   9.32451702E-01   9.50092264E-01   9.72638032E-01   9.82593148E-01   9.86641229E-01 
  7.92564268E-01   8.29778429E-01   8.71358486E-01   8.84181317E-01   9.08295812E-01   9.45216498E-01   9.61201466E-01   9.68429073E-01 
  7.11355387E-01   7.46673998E-01   7.90444062E-01   8.05473080E-01   8.34467133E-01   8.86212753E-01   9.14433239E-01   9.28865807E-01 
  7.19297458E-01   7.64145906E-01   8.19074275E-01   8.37209049E-01   8.72567856E-01   9.28845211E-01   9.53411089E-01   9.64246690E-01 
  8.78978416E-01   9.04717955E-01   9.31707441E-01   9.39770906E-01   9.53996484E-01   9.77866667E-01   9.87817179E-01   9.90875389E-01 
  7.20552956E-01   7.68029266E-01   8.22814267E-01   8.39594961E-01   8.70943627E-01   9.13523480E-01   9.32644684E-01   9.39825768E-01 
  7.35614871E-01   7.85589426E-01   8.44691115E-01   8.63051370E-01   8.96950059E-01   9.46608978E-01   9.68286240E-01   9.76112266E-01 
  8.66185819E-01   8.94144244E-01   9.24263040E-01   9.33167735E-01   9.49343271E-01   9.73806859E-01   9.84618713E-01   9.88580446E-01 
  8.62945611E-01   8.96476509E-01   9.31050345E-01   9.40471945E-01   9.56580115E-01   9.78033133E-01   9.86327079E-01   9.89685930E-01 
  7.42407901E-01   7.94491854E-01   8.52979370E-01   8.70324783E-01   9.01733799E-01   9.47045062E-01   9.66982421E-01   9.74993473E-01 
  4.94970181E-01   5.24768010E-01   5.67986554E-01   5.85162278E-01   6.21959277E-01   7.04242792E-01   7.63991476E-01   8.07753633E-01 
